atualizacao,codigo,link,pol_instituicao,pol_texto,pol_titulo
220329,acmedsci_220329_3_000,https://acmedsci.ac.uk/policy/overview/how-policy,acmedsci,"The Academy pursues an interdisciplinary approach to policy. We bring together the biological, physical, engineering and social sciences to explore opportunities for innovation and find ways around barriers to progress. We publish working group reports, statements, consultation responses and discussion papers. We connect our Fellows and other experts with policymakers through workshops, roundtables, private briefings and networking events. We believe public engagement is essential for robust policy making, ensuring recommendations are appropriate and relevant to people's hopes and concerns. We have developed high quality public dialogue models to bring the views of the public and patients to the core of our science policy work. Our policy work has established us as a unique resource for independent, expert advice on medical science policy and career development. Our policy work has impact because of our rigour, independence, engagement, partnership and conduct. Find out more about each of these in the tabs below. Rigour Independence Engagement Partnership Conduct Our Fellows underpin all stages of our policy work. They contribute by suggesting topics, providing evidence, or being members of steering groups or working parties. The Fellows on our Council, including the Officers of the Academy, provide robust governance of the process to ensure that our outputs are thorough and considered. Our major policy reports are peer reviewed by a committee, chaired by a Fellow, before they are submitted for approval by Council. All of this ensures the intellectual rigour and authority of our work. An authoritative evidence base is vital to our policy projects. The expertise and experience of the Fellows is complemented by the participation of other experts. We normally issue a public call for evidence at the start of our major policy studies, which may be followed by a workshop and oral evidence sessions. The independence of our policy work is vital for its credibility and authority. Although many of our major policy projects are commissioned by government and other organisations, we only accept commissions where we can influence the terms of reference and control the time and content of the publication. We try to balance competing interests on working groups, symposium programmes and other groupings that contribute to our work. All our working group members must declare any conflicts of interest that they have. We engage with a wide range of stakeholders to inform all stages of our work and connect our Fellows and other experts with policymakers through workshops, roundtables, briefings and networking events. We collaborate with like-minded organisations to agree common positions and to share information. Membership of formal advisory committees as well as informal networks and partnerships enables us to influence policy at its earliest stages, to ensure that our policy recommendations are made with an understanding of the perspective of stakeholders, and to disseminate our reports. Our Fellows and staff work with a diverse range of formal and ad hoc groups that advise government, including the All Party Parliamentary Group on Medical Research, events at the annual Party Conferences, briefing papers and private meetings. We are also training a new generation of researchers who are confident in engaging in policy through our highly successful policy internship scheme for PhD students who are funded by the Medical Research Council and Wellcome. We welcome ideas from others about possible new policy projects that we could take on. Our President meets regularly with key politicians, with policymakers such as the Chief Medical Officer and the Government’s Chief Scientific Advisor and with leaders of the life sciences community. We are increasingly engaging with patients and the public in our major policy activities to ensure that the hopes and concerns of wider society, as well as the knowledge of the medical community, shape our advice. Many of our projects are undertaken in collaboration with other UK and international bodies such as charities, research funders, or industry.This increases their impact. We regularly work in partnership – formally and informally – with organisations including: the other UK National Academies; Wellcome; Cancer Research UK; the Medical Research Council; Association of Medical Research Charities and the Medical Schools Council. Our membership of the InterAcademy Medical Panel and the Federation of European Academies of Medicine enables us to influence a European and wider international agenda. The conduct of our projects reflects our commitment to rigour, engagement, partnership and independence. Choosing projects The ideas for new projects may arise from recommendations from the Academy’s Council or Fellowship, or in response to consultations from Government, Parliament and other relevant bodies, or from a direct commission. We work with our Fellows and other experts to develop the scope of the project. We only take on projects where we are sure our work will have an impact. Methodology The nature of the issue we are tackling determines the approach that we use. When we want to make policy recommendations, and where there is likely to be a general consensus between experts, then we will normally undertake a working group study. When there are likely to be a range of views expressed, perhaps because the topic is controversial, or in an emerging research field, then we will organise a workshop or symposium. In some cases quiet diplomacy may be the most influential action. A major working group study allows time for extensive consultation and deliberation, but it can take a long while to generate outputs. Sometimes we need to act very quickly. If needed, we can identify Fellows to respond to an urgent request for advice within hours. Dissemination and follow-up We always plan how we will disseminate the outputs of a project, and follow up the work, before the project is finished. The dissemination plan for major policy reports will include meetings between the experts involved and those at whom our recommendations are targeted. We also disseminate our work through our extensive network of contacts, gained through our membership of formal and informal advisory committees. We use traditional and new media to promote our policy positions. We also have a commitment in our strategy to follow up the key recommendations and conclusions of our reports within two years of publication.",How we work
220329,acmedsci_220329_3_001,https://acmedsci.ac.uk/about/support-us/how-we-are-funded,acmedsci,"The Academy is a registered charity funded through a range of sources. We are incredibly grateful for this support which enables us to carry out our work. Find out more about our funding model and explore our donors below. Funding streams Our Helix Group members Major philanthropic gifts Organisational donors The Academy is Registered Charity No. 1185329. Explore ways to support our work as an individual or organisation on our donate page. The Academy is funded from a range of sources, including: grants from the Department of Health, the Department for Business, Energy and Industrial Strategy, and the Wellcome Trust; subscriptions from our Fellowship; and voluntary donations from various sources including companies, charitable trusts and individuals. We also recieve financial support through our venue, 41 Portland Place, where profits go back towards supporting the Academy. Find out more about hiring our building for meetings and events. Our vital group of individual supporters, the Helix Group, donate £250 or more each year towards our core funding. Join today. “The Academy is different. It brings together people from diverse backgrounds, continues to write independent reports on topics of immense importance, and has lobbied to maintain the considerable ties in science that have been developed across the EU. Most of the Academy’s funding is given for specific projects, which is why Helix group donations are so important, because they give the Academy complete freedom in what it does. I am delighted to be a member of this group that supports the vital work of the Academy.” ~ Sir Charles George FMedSci ~~~ “I am a member of the Helix Group and have donated to the Academy’s recent appeal to try and meet the shortfall in income during the pandemic. I feel it is important to support the Academy because of the important work they do in supporting and advocating for the medical sciences through workshops, report writing, lobbying and supporting our early career researchers.” ~ Professor Janet Lord FMedSci ~~~ “I am extremely proud to be a member of the Helix Group and to support the Academy. As a previous Member of Council and several of the Academy’s Committees I have seen close-up the support given to early career researchers, both clinical and non-clinical, and the impact this has” ~ Professor Edwin Chilvers FMedSci ~~~ We are proud to celebrate and share the names of the members of our Helix Group: Professor David Adams FMedSciProfessor Dario Alessi FRS FRSE FMedSciProfessor H.Ross Anderson FMedSciProfessor Desmond Archer OBE FMedSciProfessor Michael Arthur FMedSciProfessor Jonathan Ashmore FRS FMedSciProfessor Denis Azzopardi FMedSciProfessor David Barlow FRSE FMedSciProfessor Peter Barnes FRS FMedSciProfessor Ann Barrett OBE FMedSciProfessor George Bentley FMedSciProfessor Sheila Bird OBE FRSE FMedSciProfessor Jenefer Blackwell FMedSciSir Tom Blundell FRS FMedSciSir Walter Bodmer FRS HonFRSE FMedSciProfessor Frances Brodsky FMedSciProfessor Ed Bullmore FMedSciProfessor David Burn FMedSciProfessor Robin Carrell FRS FMedSciSir David Carter FRSE FMedSciProfessor Daniel Catovsky FMedSciSir Graeme Catto FRSE FMedSciProfessor K K Cheng FMedSciProfessor Edwin Chilvers FMedSciDr Charles ClarkeProfessor Tim Cole FMedSciProfessor Sir Rory Collins FRS FMedSciProfessor Cyrus Cooper OBE FMedSciProfessor Philip Cowen FMedSciProfessor Hilary Critchley FRSE FMedSciProfessor Sir Alfred Cuschieri FRSE FMedSciProfessor Christopher Day FMedSciProfessor David Denning FMedSciSir Colin Dollery FMedSciProfessor Anna Dominiczak DBE OBE FRSE FMedSciProfessor Dian Donnai CBE FMedSciProfessor Charles Easmon CBE FMedSciSir Christopher Edwards FRSE FMedSciProfessor David Edwards FMedSciProfessor Tim Eisen FMedSciProfessor Oleg Eremin FMedSciProfessor Timothy Evans FMedSciDr Christopher ExeterProfessor Dame Lesley Fallowfield FMedSciDr Jeremy Farrar OBE FRS FMedSciSir Marc Feldmann FRS FMedSciProfessor Pierre Foëx FMedSciProfessor Peter Friedmann FMedSciSir Charles George FMedSciProfessor Peter Ghazal FMedSciProfessor Edward Gordon-Smith FMedSciSir Brian Greenwood CBE FRS FMedSciSir Andrew Haines FMedSciProfessor John Harrington CBE FMedSciProfessor Simon Hay FMedSciProfessor Raymond Hill FMedSciProfessor Humphrey Hodgson FMedSciProfessor Stephen Holgate CBE FMedSciProfessor Peter Hutchinson FMedSciProfessor Eileen Ingham FMedSciSir Miles Irving FMedSciProfessor Bent Jakobsen FMedSciDr Harren Jhoti FRS FMedSciProfessor Martin Johnson FRS FMedSciEmeritus Professor Newell Johnson CMG FMedSciDame Anne Johnson DBE FMedSciProfessor Trevor Jones CBE FMedSciProfessor Kamlesh Khunti FMedSciProfessor Dimitri Kullmann FRS FMedSciProfessor John Langdon FMedSciProfessor Ronald Laskey CBE FRS FMedSci FLSW Professor Sir Robert Lechler PMedSciProfessor Tak Lee CBE FMedSciDr Melanie Lee CBE FMedSciDr Michael Lenardo OBE FMedSciProfessor Janet Lord FMedSciProfessor Stephen MacMahon FMedSciProfessor Michael Malim FRS FMedSciProfessor Christopher Mason FMedSciProfessor Duncan Maskell FMedSciProfessor Alan McGregor FMedSciSir Tom McKillop FRS FRSE FMedSciProfessor Andrew Morris FRSE FMedSciDr Helen MunnProfessor Gillian Murphy FMedSciProfessor James Naismith FRS FRSE FMedSciProfessor David Neal CBE FMedSciProfessor Jane Norman FMedSciProfessor Sir Stephen O'Rahilly FRS FMedSciProfessor Michael Orme FMedSciDr John Owen FRS FMedSciProfessor Peter Parham FRS FMedSciProfessor Marcus Pembrey FMedSciSir Mark Pepys FRS FMedSciSir Denis Pereira Gray OBE FMedSciProfessor John Pickard FMedSciProfessor Baron Piot KCMG FMedSciProfessor Neil Poulter FMedSciProfessor Jonathan Rhodes FMedSciProfessor Martin Rossor FMedSciProfessor Steven Sacks FMedSciProfessor Sir Nilesh Samani FMedSciProfessor Philippa Saunders FMedSciProfessor Jonathan Shepherd CBE FMedSci FLSWProfessor Elizabeth Simpson OBE FRS FMedSciProfessor Jonathan Slack FMedSciSir James Smith FRS FMedSciProfessor Peter Stanfield FMedSciProfessor Paul Stewart FMedSciProfessor Simon Tavaré FRS FMedSciProfessor Paul-Peter Tak FMedSciProfessor Anne Tattersfield OBE FMedSciProfessor Christoph Thiemermann FMedSciProfessor Stephen Tomlinson CBE FMedSciProfessor Sir John Tooke FMedSciProfessor Rhian Touyz FMedSciProfessor Patrick Vallance FMedSciProfessor Veronica van Heyningen CBE FRS FRSE FMedSciProfessor Angela Vincent FRS FMedSciSir Mark Walport FRS FMedSciProfessor Frank Walsh FRSE FMedSciProfessor Jadwiga Wedzicha FMedSciProfessor Anthony Weetman FMedSciProfessor Robin Weiss FRS FMedSciProfessor Peter Weissberg CBE FMedSciDr Timothy Wells FMedSciDr Elspeth WhitbyProfessor James Whitworth FMedSciProfessor Moira Whyte OBE FMedSciProfessor Andrew Wilkie FRS FMedSciDr John WilliamsDr Roger Williams FRS FMedSciProfessor Roger Williams CBE FMedSciProfessor Lord Robert Winston HonFREng FMedSciProfessor Roland Wolf OBE FRSE FMedSciSir Kent Woods FMedSciDr Tadataka Yamada KBE FMedSci The Academy is fortunate to have worked with a number of individuals and foundations who have chosen to support our work through major philanthropic gifts. Dennis and Mireille Gillings Foundation In 2018 the Academy of Medical Sciences received a pledge of £600,000 from the Dennis and Mireille Gillings Foundation towards a pilot programme to develop two cohorts of innovative new leaders in medical science. The FLIER programme has now supported 35 individuals in two pilot cohorts - discover the programme here. Dr Mireille Gillings, neuroscientist, business entrepreneur and founder of HUYA Bioscience International said: “Future leaders in the biomedical and health sector will need to be brilliant scientists that can manage money and medicine. I am confident that the FLIER programme will give researchers expertise in what I call the 3M’s - management, money and medicine. Skills across the 3M’s will help get new drugs to patients faster. We are delighted to contribute to this new programme that will help fill this gap.” Yusuf and Farida Hamied Foundation The Hamied Foundation UK-India Antimicrobial Resistance Visiting Professorship Scheme supports the travel and subsistence costs of UK researchers visiting India to develop long-term collaborations on the highly important topic of antimicrobial research. The grant also includes funding for two scientific meetings on antimicrobial resistance, one in the UK and one in India. This innovative new scheme was announced in Autumn 2017 as part of a wider initiative aiming to tackle antimicrobial resistance, championed by Professor Dame Sally Davies DBE FRS FMedSci, Chief Medical Officer for England and generously supported by the Yusuf and Farida Hamied Foundation. The Daniel Turnberg Memorial Fund established by Lord and Lady Turnberg The Daniel Turnberg Memorial Fund was set up by Lord and Lady Turnberg in memory of their late son Daniel Turnberg, a doctor and researcher with a keen interest in fostering links between the UK, Israel and the Middle East. The Fund supports both short-term exchange visits between the UK and the Middle East and wider networking conferences. These enable early- and mid-career scientists in the UK and the Middle East to experience an alternative research environment, learn new techniques and develop ideas for future collaborations. The Academy gratefully acknowledges the generosity of all the organisations who provide valuable support for our work, through core donations, programme or project support. We thank all the following organisations for contributing to the Academy in the past year: AD Cave SolutionsArthritis Research UK/Versus ArthritisAssociation of the British Pharmaceutical IndustryAstexAstraZenecaBirmingham Health PartnersBirmingham Medical SchoolBoard of Academic Medicine (Scotland)Bristol Medical SchoolBristol Myers SquibbBritish Heart FoundationBritish Pharmacological SocietyBritish Thoracic SocietyDennis and Mireille Gillings FoundationDepartment for Business Energy and Industrial StrategyDepartment of Health and Social CareDiabetes UKDunhill Medical TrustFoulkes FoundationGlaxoSmithKline (GSK)IQVIAJanssenKing's Health PartnersLaurie Landeau FoundationLeeds Academic Health PartnershipLifeArcLife Sciences Hub Wales Lord Leonard and Lady Estelle Wolfson FoundationMedCityMedical Research CouncilMerck Sharp and DohmeNational Institute for Health and Clinical Excellence (NICE)National Institute for Health Research (NIHR)National Institute for Social Care and Health Research (Wales)NHS Education for ScotlandNorthern Health Science Alliance NovartisOptumLabsPatient Information ForumProstate Cancer UKPublic Health EnglandQueen’s University BelfastRoyal Society of ChemistryThe Daniel Turnberg Memorial FundThe Health FoundationThe Jean Shanks FoundationThe LancetThe Physiological SocietyThe Royal College of PhysiciansUCBUniversity College LondonUniversity of AberdeenUniversity of DundeeUniversity of EdinburghUniversity of Glasgow, College of Medical, Veterinary and Life SciencesUniversity of NewcastleUniversity of OxfordUniversity of SouthamptonVertex PharmaceuticalsWellcome TrustWelton FoundationWolfson Family Charitable TrustWolfson FoundationYusuf and Farida Hamied Foundation",How we are funded
220329,adaptationfundorg_220329_3_000,https://www.adaptation-fund.org/about/,adaptationfundorg,"About the Adaptation Fund The Adaptation Fund finances projects and programmes that help vulnerable communities in developing countries adapt to climate change. Initiatives are based on country needs, views and priorities. Since 2010, the Adaptation Fund has committed US$ 850 million to projects and programmes to date, including 123 concrete projects. This spans nearly 100 countries, including 19 small island developing states and 33 least developed countries, serving about 28 million total beneficiaries. It also pioneered Direct Access, empowering countries to access funding and develop projects directly through accredited national implementing entities. Climate change is predicted to greatly affect the poorest people in the world, who are often hardest hit by weather catastrophes, desertification, and rising sea levels, but who have contributed the least to the problem of global warming. In some parts of the world, climate change has already contributed to worsening food security, reduced the predictable availability of fresh water, and exacerbated the spread of disease and other threats to human health. Helping the most vulnerable countries and communities is an increasing challenge and imperative for the international community, especially because climate adaptation requires significant resources beyond what is already needed to achieve international development objectives. The Fund is financed largely by government and private donors, and also from a two percent share of proceeds of Certified Emission Reductions (CERs) issued under the Protocol’s Clean Development Mechanism projects. Click here to learn more about the Adaptation Fund.",About the Adaptation Fund
220430,agropolis_220430_3_000,https://www.agropolis-fondation.fr/Procedures-and-evaluation,agropolis,"ONLY PROPOSALS SUBMITTED BY A UNIT OF THE FOUNDATION NETWORK ARE ELIGIBLE, UNLESS OTHERWISE INDICATED IN THE ToR OF THE ACTION. Regardless of the process that led to its funding, the projects supported by the Foundation must meet the following conditions: Consistency with the objectives of the Foundation: promoting scientific excellence, innovation, the structuring role, interdisciplinarity, the consolidation of international partnerships, and the relevance of socio-economic and sustainable development issues; Bring added value with regard to the founding organisations and existing funding agencies. Particular attention is given to the proposals: Involving several units of the network and external partners; And /or focused on an issue or a strategic topic likely to increase the international visibility of the network; And /or exploratory, both risky and innovative. Either in the context of a Call for Proposals or a commissioned procedure, the Terms of Reference of the action indicate whether the evaluation is carried out in one or two stages. The two-step process starts with the submission of a Concept Note (CN). Proponents of selected CNs are then asked to submit a full proposal which is reviewed by external evaluators and members of the Foundation’s Science Council. Between 2011 and 2020, the success rates for calls for projects and one-off supports were 37% and 60% respectively, giving an average success rate of 43% for all calls. Learn more Evaluation criteria The quality of proposals is determined according to the following criteria: Scientific quality: originality, innovative nature, feasibility Structural role: interactions between the scientific fields defined by the Foundation; interactions between disciplines and, more specifically, between the social sciences, the engineering sciences and the biological sciences; comparison of temperate, Mediterranean and tropical issues; consolidation of partnerships, especially in the global South and the Mediterranean Contribution to international attractiveness and visibility Relevance for socio-economic and sustainable development issues Added value of funding: the added value of financial support from the Foundation compared to other sources of funding; the “leverage” effect expected and the mobilisation of other sources of funding. Additional criteria may be included depending on the Call for Proposal. Grants are provided either through a Call for Proposals (CfP) or a commissioned procedure. In the case of a CfP, actions are implemented in line with the provisions of the Foundation’s funding framework, subject, where necessary, to any specific provisions set out in the Partnership Agreement, such as those concerning arrangements between partners on the selection of projects to be funded. In the case of commissioned procedures, the Science Council is informed of the general partnership framework prior to its approval by the Board, and is subsequently involved in the scientific monitoring of actions supported in the context of this partnership. Close","Eligibility, procedures and evaluation"
220430,agropolis_220430_3_001,https://www.agropolis-fondation.fr/One-off-supports,agropolis,"The commissioned procedures allow the co-construction of projects between the Foundation (and partner organizations, where applicable) and research units within the network. The purpose of this procedure is to support the implementation of a major federating or flagship project, or smaller projects, co-developed with partner(s).",Commissioned procedure
220430,amazonscience_220430_3_000,https://www.amazon.science/about,amazonscience,"The Amazon Science website gives you insight into the company’s approach to customer-obsessed scientific innovation. Amazon fundamentally believes that scientific innovation is essential to being the most customer-centric company in the world. It's the company’s ability to have an impact at scale that allows us to attract some of the brightest minds in artificial intelligence, machine learning, and related fields.Our scientists continue to publish, teach, and engage with the academic community, in addition to utilizing our working backwards method to enrich the way we live and work. Bookmark this site and come back regularly to get a deep dive on innovation and invention at Amazon, and explore the many ways you can engage with our science community. You can also follow us on Twitter, Facebook, LinkedIn, Instagram and YouTube, and receive a regular digest by subscribing to our newsletter.",About Amazon Science
220329,arcadia_220329_3_000,https://www.arcadiafund.org.uk/how-we-operate,arcadia,"We proactively seek and support organizations with strong leadership, that operate in a cost-effective, collaborative, scientifically sound and ethical manner, and that share our ambitions. We are guided by our founders and rely on the expertise of our team, advisory board and networks to develop our strategy and grantmaking. We make few, multi-year grants. We fund operational costs, existing projects or develop partnerships to create new schemes. We build long-term relationships with our grant recipients: we replicate and expand successful projects and award repeat grants to continue outstanding work.",How We Operate
220329,aucklandzoo_220329_3_000,https://www.aucklandzoo.co.nz/about-the-zoo,aucklandzoo,"[We are Auckland Zoo. A not-for-profit and wildlife conservation organisation dedicated to building a future for wildlife. Since opening on 17 December 1922, Auckland Zoo has evolved to become an active conservation organisation and has welcomed over 28 million visitors. We focus on four key strategies to achieve our goal: Care – we employ the very latest technology, medicine and research to ensure that the wildlife in our care have the best lives possible. Connect – we work together, with our colleagues and our communities, to foster discovery of the natural world, inspire action for wildlife and create hope for its future. We lead by example, with optimism, with expertise and with passion Wild Work – we use our skills, Zoo skills, wherever they are needed to help wildlife in wild places Sustain – through careful management of our site and our assets, we aim to minimise the impact we have on the environment Auckland Zoo is a winner of national and international awards and is at the leading-edge of wildlife research, conservation work and innovative zoo design. Everything we do at Auckland Zoo directly contributes towards our conservation efforts - how we care for the wildlife at the Zoo, our Wild Work and Conservation Fund, our environmental impact, and how we connect people with wildlife conservation science, here at the Zoo. , Our Values We share our love for wild places and wildlife. Ka aroha nui ki ngā wāhi puihi, ki ngā kararehe puihi hoki. We are passionate about wild places and wildlife. We are continually seeking new knowledge through our research work and sharing what we learn with visitors. We are conservation optimists. Whakanuia te taiao. We lead efforts to protect the world's natural environments and the animals that live in them. We educate people on living more sustainably by showing them how. We are all kaitiaki of the Zoo and the environment. He kaitiaki tātou katoa. We take our roles in the sustainable management of the Zoo and in the Auckland region's environment seriously, as we cherish and protect them for future generations. We stand together. Ka tū kotahi tātou. We are at our best when we work together as a team with positive intent. Through our ingenuity combined with strong relationships built on trust, we actively support each other to tackle any challenge we face. We welcome visitors as friends. He kaha nō mātou ki te manaaki i ngā manuhiri. ​We welcome visitors to the Zoo as we would our friends. The relationship we build is one of respect for the different reasons visitors have for visiting the Zoo, the role they play in funding the Zoo's work and earning their respect for the work of the Zoo. , Transforming our zoo Our $130 million, ten-year development plan will serve to further transform into a world-leading modern Zoo. We are building exceptional habitats for all our animals, creating extraordinary experiences for everyone who visits us, as well as facilities for our staff and future conservationists. Learn more about our Future Zoo here > ]",About Us
220329,biocarbonfund_220329_3_000,https://www.biocarbonfund-isfl.org/who-we-are,biocarbonfund,"Home Who We Are Who We Are ISFL at a Glance The BioCarbon Fund Initiative for Sustainable Forest Landscapes (ISFL) is a multilateral fund, supported by donor governments and managed by the World Bank. It promotes reducing greenhouse gas emissions from the land sector, including efforts to reduce deforestation and forest degradation in developing countries (REDD+), sustainable agriculture, as well as smarter land-use planning, policies and practices. The ISFL currently supports programs in Colombia, Ethiopia, Indonesia, Mexico, and Zambia. These large-scale programs are pioneering work that enables countries and the private sector to adopt changes in the way farmers work on the ground, as well as informing policies made at the international level. Global Context Forests are not only the lungs of the planet, but they are also at the heart of many of the world’s most pressing challenges. Forests produce food for a growing population; they regulate greenhouse gas (GHG) emissions and reduce the impact of extreme climate events such as storms and heat waves. Their role in protecting critical infrastructure and providing a source of energy often goes unnoticed. Not only are forests the guardians of biodiverse ecosystems, they are also home to some of the world’s most vulnerable populations. Despite their importance to life on earth, forests are threatened by pressures to convert land for agricultural production, energy expansion, mining, infrastructure development, and urban expansion. Deforestation, forest degradation, and land-use change alone are responsible for nearly a quarter of the world’s GHG emissions. New tools and approaches to address deforestation, climate change, and sustainable development offer hope. The global community is increasingly aware of forests’ importance to the global economy and the risks that forest loss poses to economic productivity, supply chains, and global well-being. Building on momentum at the international, national, and subnational levels, climate-smart land-use approaches—applied across agriculture, forestry, and other land-use sectors—offer innovative and effective solutions to address the multifaceted challenges of deforestation and land-use change. Today, there is a huge network of governments, businesses, civil society, and local communities working to advance the land-use carbon agenda internationally. Building on the BioCarbon Fund’s 15+ years of experience, the ISFL is creating a portfolio of programs that will promote sustainable agriculture, forestry and smarter land-use practices in an integrated approach. ISFL programs cover a variety of geographies and will transform large rural areas by protecting natural forests, restoring degraded lands, and enhancing agricultural productivity, thereby improving livelihoods and local environments. Now more than ever, it is imperative that countries and the private sector redouble their efforts and forge new partnerships to achieve a much more sustainable future for life on our planet. The ISFL aims to play a key role in that pursuit. Partners and Stakeholders Partnerships with public and private sector actors are essential to mobilize capital and align objectives to create sustainable and scalable models for long-term improved land use. The ISFL partners with a wide range of partners and stakeholders to reduce greenhouse gas emissions from land use across an entire jurisdiction while simultaneously creating livelihood opportunities. Country participants COLOMBIA ETHIOPIA INDONESIA MEXICO ZAMBIA Contributing participants GERMANYBundesministerium für Umwelt, Naturschutz und nukleare Sicherheit (BMU) NORWAYInternational Climate and Forest Initiative (NICFI) SWITZERLANDSwiss Agency for Development and Cooperation (SDC) UNITED KINGDOMDepartment for Business, Energy and Industrial Strategy (BEIS) UNITED KINGDOMDepartment for Environment, Food and Rural Affairs (DEFRA) USAUnited States Department of State (DOS) Funding The ISFL has two key funding instruments, the BioCFplus and BioCF Tranche 3, which have been designed specifically to operationalize the vision of the ISFL. BioCFplus supports grant-based technical assistance activities and capacity-building efforts in each jurisdiction. It provides the critical investment finance needed to establish an enabling environment for sustainable land use and develop systems for monitoring, reporting, and verifying greenhouse gas (GHG) emission reductions. In addition, BioCFplus directly finances advisory service projects aimed at attracting private sector interest in ISFL jurisdictions, which can benefit farmers and other private sector actors. BioCF Tranche 3 (T3) provides results-based payments for verified reductions in GHG emissions through an Emission Reductions Purchase Agreement (ERPA). The BioCFplus in combination with results-based finance from BioCF T3 allows ISFL programs to use tools and approaches tailored to a country’s specific context. The BioCarbon Fund Initiative for Sustainable Forest Landscapes (ISFL) collaborates with countries around the world to reduce emissions from the land sector through smarter land-use planning, policies, and practices.",Who We Are 
220329,biocodexmicrobiotafundation_220329_3_000,https://www.biocodexmicrobiotafoundation.com/foundation,biocodexmicrobiotafundation,"The Microbiota, a major health topic yet to be fully explored The role played by the microbiota in human health has been of growing interest for the last decade. Ground-breaking research about this topic is booming and has led to a better understanding of how over a trillion microorganisms, which live in our gut (bacteria, viruses, parasites, and fungi), interact to keep the digestive system functioning properly and to form a complex ecosystem that plays a fundamental role in human health and diseases. However, there still remains a lot to be explored. The Biocodex Microbiota Foundation for sciences advance and better care of human microbiota As a world-renowned leader in microbiota research and a pioneer in probiotic treatments, Biocodex launched in 2017 a Foundation dedicated to enhancing scientific knowledge about the human microbiota, improving our understanding of microbiota, disseminating this knowledge as widely as possible and eventually, contributing to improve human health. Each year, the Biocodex Microbiota Foundation awards annual grants to innovative scientific research projects that explore the role of microbiota and, in particular, the impact of its imbalance on the occurrence or evolution of various pathologies. To do so, the Foundation gathers both international and national boards of independent experts who select the most innovative fundamental or applied research projects to be awarded grants. In 2021, Biocodex Microbiota Foundation launched Henri Boulard Award To foster its commitment to improving global health, the Biocodex Microbiota Foundation launches in 2021 the Henri Boulard Award. Henri Boulard was the famous French microbiologist who discovered the yeast Saccharomyces boulardii in the 1920s in Indochina and its virtues against diarrhoea. The Henri Boulard Award honors this memory, and it is dedicated to improving the management of disorders associated with microbiota. This award supports projects initiated at a local level through education, new infrastructure, awareness campaigns, farming projects, etc. From water purification projects to health education programs, the project has to address a local unmet medical need in the country and improve a population’s health.",MOVING HEALTH FORWARD THROUGH MICROBIOTA
