atualizacao,codigo,link,prj_brazil,prj_instituicao,prj_titulo,prj_valor
220329,adaptationfundorg4220329_4_000,https://www.adaptation-fund.org/project/enhance-community-local-and-national-level-urban-climate-change-resilience-to-water-scarcity-caused-by-floods-and-droughts-in-rawalpindi-and-nowshera-pakistan-2/,N,adaptationfundorg4,"Enhance community, local and national-level urban climate change resilience to water scarcity, caused by floods and droughts in Rawalpindi and Nowshera, Pakistan","USD 6,094,000"
220329,adaptationfundorg4220329_4_001,https://www.adaptation-fund.org/project/enhancing-climate-resilience-san-cristobal-province-dominican-republic-integrated-water-resources-management-rural-development-programme-2/,N,adaptationfundorg4,"Enhancing Climate Resilience in San Cristóbal province, Dominican Republic Integrated Water Resources Management and Rural Development Programme","USD 9,953,692"
220329,adaptationfundorg4220329_4_002,https://www.adaptation-fund.org/project/strengthening-land-based-adaptation-capacity-communities-adjacent-protected-areas-armenia-3/,N,adaptationfundorg4,Strengthening land based adaptation capacity in communities adjacent to protected areas in Armenia,"USD 2,506,000"
220329,adaptationfundorg4220329_4_003,https://www.adaptation-fund.org/project/artik-city-closed-stone-pit-waste-flood-management/,N,adaptationfundorg4,Artik city closed stonepit wastes and flood management pilot project,"USD 1,435,100"
220329,adaptationfundorg4220329_4_004,https://www.adaptation-fund.org/project/building-resilience-agriculture-sector-climate-change-iraq-brac-2/,N,adaptationfundorg4,Building Resilience of the Agriculture Sector to Climate Change in Iraq,"USD 9,999,660"
220329,adaptationfundorg4220329_4_005,https://www.adaptation-fund.org/project/practical-solutions-reducing-community-vulnerability-climate-change-federated-states-micronesia-2/,N,adaptationfundorg4,Practical Solutions for Reducing Community Vulnerability to Climate Change in the Federated States of Micronesia,"USD 970,000"
220329,adaptationfundorg4220329_4_006,https://www.adaptation-fund.org/project/increasing-resilience-informal-urban-settlements-fiji-highly-vulnerable-climate-change-disaster-risks-2/,N,adaptationfundorg4,Increasing the resilience of informal urban settlements in Fiji that are highly vulnerable to climate change and disaster risks,"USD 4,235,995"
220329,adaptationfundorg4220329_4_007,https://www.adaptation-fund.org/project/ecosystem-based-adaptation-communities-central-forest-corridor-tegucigalpa/,N,adaptationfundorg4,Ecosystem-Based Adaptation at Communities of the Central Forest Corridor in Tegucigalpa,"USD 4,379,700"
220329,adaptationfundorg4220329_4_008,https://www.adaptation-fund.org/project/enhancing-climate-change-resilience-vulnerable-island-communities-federated-states-micronesia/,N,adaptationfundorg4,Enhancing the Climate Resilience of vulnerable island communities in Federated States of Micronesia,"USD 9,000,000"
220329,adaptationfundorg4220329_4_009,https://www.adaptation-fund.org/project/building-adaptive-capacities-communities-livelihoods-ecological-security-kanha-pench-corridor-madhya-pradesh/,N,adaptationfundorg4,"Building Adaptive Capacities of Communities, Livelihoods and Ecological Security in the Kanha-Pench Corridor of Madhya Pradesh","USD 2,556,093"
220329,adaptationfundorg4220329_4_010,https://www.adaptation-fund.org/project/adaptation-to-the-impacts-of-climate-change-on-perus-coastal-marine-ecosystem-and-fisheries-2/,N,adaptationfundorg4,Adaptation to the Impacts of Climate Change on Peru’s Coastal Marine Ecosystem and Fisheries,"USD 6,950,239"
220329,adaptationfundorg4220329_4_011,https://www.adaptation-fund.org/project/climate-changes-adaptation-project-in-oasis-zones-pacc-zo-2/,N,adaptationfundorg4,Climate changes adaptation project in oasis zones – PACC-ZO,"USD 9,970,000"
220329,adaptationfundorg4220329_4_012,https://www.adaptation-fund.org/project/programme-support-for-climate-change-adaptation-in-the-vulnerable-regions-of-mopti-and-timbuktu-2/,N,adaptationfundorg4,Programme Support for Climate Change Adaptation in the vulnerable regions of Mopti and Timbouctou,"USD 8,533,348"
220329,adaptationfundorg4220329_4_013,https://www.adaptation-fund.org/project/increasing-the-resilience-of-poor-and-vulnerable-communities-to-climate-change-impacts-in-jordan-through-implementing-innovative-projects-in-water-and-agriculture-in-support-of-adaptation-to-climate-4/,N,adaptationfundorg4,Increasing the resilience of poor and vulnerable communities to climate change,"USD 9,226,000"
220329,adaptationfundorg4220329_4_014,https://www.adaptation-fund.org/project/building-adaptive-capacities-of-small-inland-fishers-for-climate-resilience-and-livelihood-security-madhya-pradesh-2/,N,adaptationfundorg4,"Building Adaptive Capacities of Small Inland Fishermen Community for Climate Resilience and Livelihood Security, Madhya Pradesh, India","USD 1,790,500"
220329,adaptationfundorg4220329_4_015,https://www.adaptation-fund.org/project/increased-resilience-to-climate-change-in-northern-ghana-through-the-management-water-resources-and-diversification-of-livelihoods/,N,adaptationfundorg4,Increased Resilience to Climate Change in Northern Ghana through the Management of Water Resources and Diversification of Livelihoods,"USD 8,293,972"
220329,adaptationfundorg4220329_4_016,https://www.adaptation-fund.org/project/climate-proofing-of-watershed-development-projects-in-the-states-of-rajasthan-and-tamil-nadu/,N,adaptationfundorg4,Climate Proofing of Watershed Development Projects in the States of Tamil Nadu and Rajasthan,"USD 1,344,155"
220329,adaptationfundorg4220329_4_017,https://www.adaptation-fund.org/project/enhancing-resilience-of-climate-change-of-the-small-agriculture-in-chilean-region-of-o-higgins/,N,adaptationfundorg4,Enhancing resilience to climate change of the small agriculture in the Chilean region of O’Higgins,"USD 9,960,000"
220329,adaptationfundorg4220329_4_018,https://www.adaptation-fund.org/project/adapting-to-climate-induced-threats-to-food-production-and-food-security-in-the-karnali-region-of-nepal-3/,N,adaptationfundorg4,Adapting to climate induced threats to food production and food security in the Karnali Region of Nepal,"USD 9,527,160"
220329,adaptationfundorg4220329_4_019,https://www.adaptation-fund.org/project/taking-adaptation-to-the-ground-a-small-grants-facility-for-enabling-local-level-responses-to-climate-change/,N,adaptationfundorg4,Taking adaptation to the ground: A small Grants Facility for enabling local-level responses to climate change,"USD 2,442,682"
220329,adaptationfundorg4220329_4_020,https://www.adaptation-fund.org/project/building-resilience-in-the-greater-umngeni-catchment/,N,adaptationfundorg4,"Building Resilience in the greater uMngeni Catchment, South Africa","USD 7,495,055"
220329,adaptationfundorg4220329_4_021,https://www.adaptation-fund.org/project/integrated-programme-to-build-resilience-to-climate-change-adaptive-capacity-of-vulnerable-communities-in-kenya/,N,adaptationfundorg4,Integrated Programme To Build Resilience To Climate Change & Adaptive Capacity Of Vulnerable Communities In Kenya,"USD 9,998,302"
220329,adaptationfundorg4220329_4_022,https://www.adaptation-fund.org/project/reducing-the-vulnerability-by-focusing-on-critical-sectors-agriculture-water-resources-and-coastlines-in-order-to-reduce-the-negative-impacts-of-climate-change-and-improve-the-resilience-of-these/,N,adaptationfundorg4,"Reducing the Vulnerability by Focusing on Critical Sectors (Agriculture, Water Resources and Coastlines) in order to Reduce the Negative Impacts of Climate Change and Improve the Resilience of these Sectors.","USD 9,970,000"
220329,adaptationfundorg4220329_4_023,https://www.adaptation-fund.org/project/enhancing-adaptive-capacity-and-increasing-resilience-of-small-and-marginal-farmers-in-purulia-and-bankura-districts-of-west-bengal/,N,adaptationfundorg4,Enhancing Adaptive Capacity and Increasing Resilience of Small and Marginal Farmers in Purulia and Bankura Districts of West Bengal,"USD 2,510,854"
